id,station_name,short_name,total_docks,docks_in_service,status,lat,lng,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_8hcu_yrd4
a3a3ace6-a135-11e9-9cda-0a87ae2ba916,Racine Ave & 18th St,13164,15,15,In Service,41.8583996,-87.6564226,"{'type': 'Point', 'coordinates': [-87.6564226, 41.8583996]}",8,14920,33,365,26,43,25
a3a4b693-a135-11e9-9cda-0a87ae2ba916,Damen Ave & Pierce Ave,TA1305000041,23,23,In Service,41.9088152,-87.6771937,"{'type': 'Point', 'coordinates': [-87.6771937, 41.9088152]}",24,21560,25,481,41,4,1
a3a88a6d-a135-11e9-9cda-0a87ae2ba916,Ashland Ave & Belle Plaine Ave,13249,11,11,In Service,41.956057,-87.668835,"{'type': 'Point', 'coordinates': [-87.668835, 41.956057]}",13,21186,57,650,18,53,47
1606778059648526978,Whipple/Irving Park,,9,9,In Service,41.954189,-87.704448,"{'type': 'Point', 'coordinates': [-87.704448, 41.954189]}",2,21538,16,116,20,39,33
1859718111300847802,Artesian Ave & Marquette Rd,23142,15,15,In Service,41.77203,-87.684637,"{'type': 'Point', 'coordinates': [-87.684637, 41.77203]}",44,21867,64,382,2,58,16
a3a5bf01-a135-11e9-9cda-0a87ae2ba916,Rush St & Hubbard St,KA1503000044,23,23,In Service,41.890173,-87.626185,"{'type': 'Point', 'coordinates': [-87.626185, 41.890173]}",22,21182,37,626,36,6,42
a3a45e3b-a135-11e9-9cda-0a87ae2ba916,Dearborn St & Monroe St,TA1305000006,39,39,In Service,41.881319815,-87.6295209193,"{'type': 'Point', 'coordinates': [-87.6295209193, 41.881319815]}",22,14311,38,92,36,34,34
a3acb6f3-a135-11e9-9cda-0a87ae2ba916,Western Ave & Monroe St,15667,15,15,In Service,41.88142526,-87.6866316818,"{'type': 'Point', 'coordinates': [-87.6866316818, 41.88142526]}",48,21184,29,37,46,28,27
a3a5af44-a135-11e9-9cda-0a87ae2ba916,Ogden Ave & Congress Pkwy,13081,15,15,In Service,41.87501,-87.67328,"{'type': 'Point', 'coordinates': [-87.67328, 41.87501]}",48,21184,29,90,46,28,27
a3b2659d-a135-11e9-9cda-0a87ae2ba916,State St & 76th St,572,11,11,In Service,41.756971,-87.624621,"{'type': 'Point', 'coordinates': [-87.624621, 41.756971]}",31,21546,67,475,32,61,4
a3b45e26-a135-11e9-9cda-0a87ae2ba916,Eggleston Ave & 69th St,650,11,11,In Service,41.768898,-87.635876,"{'type': 'Point', 'coordinates': [-87.635876, 41.768898]}",31,21559,66,479,32,11,4
